"Combo","Frequency","Actions"
"(mirror) | 2lp | (mirror) | 2mp",1,"4"
"(mirror) | 2mp",1,"2"
"2lk | 2lp | exhb | extackle",1,"4"
"2lp | 2lp",1,"2"
"2lp | 2lp | 5vt1a | (mirror) | 5hp | (mirror) | headbutt | (mirror) | 2hp | 236hp | tackle",1,"11"
"2lp | 2lp | headbutt",2,"3"
"2mk | 2lp | headbutt",2,"3"
"2mk | 2mp | headbutt",1,"3"
"2mk | 5lp",1,"2"
"2mp | 2hp | 236hp | extackle",1,"4"
"2mp | 2hp | 236hp | tackle | extackle",1,"5"
"2mp | 2hp | headbutt | 2hp | 236hp | tackle",1,"6"
"2mp | 2hp | headbutt | 2hp | 236hp | tackle | SUPER",1,"7"
"2mp | 2hp | headbutt | 2hp | 236pp | tackle | 6mp",1,"7"
"2mp | 2lp",1,"2"
"2mp | 2lp | headbutt",1,"3"
"2mp | headbutt",1,"2"
"5hk | 2hp | 2hp | 236hp | 6hk",1,"5"
"5hp | 66 | 2hp | 236hp | tackle",1,"5"
"5hp | 66 | 2hp | 236pp | 66 | 6mp",1,"6"
"5hp | tackle",1,"2"
"5lp | 5mp",1,"2"
"5lp | tackle",2,"2"
"5mp | 236p",2,"2"
"5mp | 2mp | 236pp | 4vt1 | 2lp",1,"5"
"5mp | tackle",7,"2"
"8hp | 5mp | 2mp | exhb | extackle",1,"5"
"9hk | 2mk | 5vt1a | (mirror) | 5mp | (mirror) | 2hp | (mirror) | 4vt1 | 6mp | 66",1,"11"
"exhb | 5hp",1,"2"
"exhb | tackle",5,"2"
"throw | (mirror)",4,"2"
"throw | (mirror) | 2mp",1,"3"
"throw | (mirror) | 5lk",1,"3"
"throw | (mirror) | SUPER",1,"3"
